fips,farm_prop_income_share
21193,-0.000210814479466442
25019,0
26079,-0.000238207610176585
01001,0.00509492904743284
01011,0.033042831876554
01013,0.0393460946175981
01023,0.0204769975623426
01033,-0.00158193893248908
01035,0.0367208172108359
01045,0.0228957610711856
01055,0.00483687043635039
01063,0.015374481946804
01065,0.0265968150625393
01073,-0.000127238661377374
01075,0.00321933244501472
01083,0.00160001444173458
01091,0.0108909405868368
01093,0.0269488627944211
01105,0.0425976414174773
01101,0.00186627868189797
01107,0.0375069919745336
01115,0.00234528057169574
01117,7.56994219942481e-05
01125,0.000338347883949606
01133,0.00373846185200511
09130,-0.000102294171058701
02020,0
02068,0
02105,0
02110,-0.00549850146148038
02170,-0.000614755623014367
02195,0
02198,0
02231,
02903,
02904,
02912,
02919,
02924,
02925,
04001,-0.00378134741749615
04003,0.00110557651933745
04011,0.0080572004992888
04012,-0.00932494296757116
04017,-0.000469912098795637
04019,4.09085165602042e-05
05009,0.0186714571961584
05015,0.0725305039464028
05021,0.0631554290244694
05029,0.0775474647103963
05031,0.00712561625859027
05039,0.00503675945186338
05041,0.127686909203004
05051,-1.04511519688944e-05
05053,-0.00247793966755592
05061,0.177010550236354
05069,0.0215437778200711
05071,0.0408518071276419
05079,0.0970527655260916
05081,0.0665106328512132
05089,0.00712407637884445
05091,0.00364281255861617
05099,0.0731080653449422
05107,0.0582143769878377
05109,0.0719499545941665
05117,0.0455887762072408
05119,0.000258519241083763
05127,0.142636817284492
05129,-0.0169314100555427
05137,0.0501108734472812
05145,0.00539581699559042
05147,0.12469615130064
06003,0
06011,0.0528415649455949
06013,0.000279561488714043
06019,0.0208977447120006
06021,0.0458343180206875
06029,0.0215586701443648
06037,6.91623157927662e-05
06045,0.0031214545762805
06047,0.0571126274971307
06055,0.00154953094271482
06071,0.00113730457368966
06077,0.0100805405698436
06081,0.000215629218444671
06083,0.00983990680564333
06089,0.00320246844279659
06091,0.0155394036902543
06103,0.0144741880804769
06105,0.0223320625261384
06113,0.0070741293518659
08003,-0.0055909884754285
08009,0.0157210677873765
08011,0.0189353446569268
08021,0.029575229914182
08029,-0.000587318360412641
08031,-7.4990221654648e-06
08039,-0.0149457449572767
08041,-0.000292918359490686
08049,-0.00170549977996007
08051,-0.00184104186372448
08059,-1.86885578340028e-05
08061,0.121964178758429
08069,-4.67865819406829e-05
08071,-0.00143361158276819
08079,-0.00427791905064632
08081,0.000488920609408631
08087,0.0293660021816525
08089,0.00246578153246377
08097,-0.000648816990354254
08099,0.0168680234141029
08107,-0.00330668676499495
08109,0.0074617392885446
08121,-0.0136221922285803
09001,
09009,
09110,-8.22639336930504e-05
09120,-4.65416644882195e-06
09170,-1.69019261631971e-05
09180,0.00180045242137768
10001,0.016800040488788
10003,0.000283608567998049
12003,0.00537716028076668
12011,8.73494723538525e-06
12013,0.0114732544963245
12021,3.03712800982506e-05
12031,1.43479366481507e-05
12033,-8.18747795090776e-05
12041,0.00880379980588695
12043,0.0128197780785322
12051,0.00816383768690067
12059,0.00869581155371047
12061,8.05387113594768e-05
12069,0.000336361893503025
12079,0.0341072082828159
12086,8.34493261029716e-06
12093,0.0111273195323394
12095,2.90566351059672e-05
12101,-2.31671191310221e-05
12103,-2.1953121331159e-06
13033,0.0271741601021988
12111,-3.75168196663977e-05
12119,0.000353921845699042
12121,0.0436622543968825
12133,0.00585524527276022
13005,0.0533343842969862
13007,0.0827071830849489
13015,0.00353582210934301
13023,0.0127950852243755
13025,-0.000619183945897941
13035,0.00240641246051918
13045,0.011120504287314
13055,0.0176665524626984
13063,-7.21080647421442e-05
13065,0.0217728485913222
13073,-0.000121304075495726
13079,0.0443914444096194
13081,0.00277078213796928
13091,0.00670070275961703
13093,0.0559134112027222
13101,-0.0231768471392485
13103,0.001996123492487
13111,0.00682673728762706
13119,0.114791844492005
13121,-3.49661220655366e-05
13129,0.0375233160552157
13137,0.029542341899679
13139,0.0016888352985031
13147,0.0559178143131698
13149,0.0398841657830643
13157,0.0105845032263019
13167,-0.0147946815971505
13175,0.00741620036476864
